time,hr,hr_norm
1673965657.459,102.0,-0.02857142857142857
1673965658.459,101.0,-0.0380952380952381
1673965659.459,100.0,-0.047619047619047616
1673965660.459,99.0,-0.05714285714285714
1673965661.459,98.0,-0.06666666666666667
1673965662.459,97.0,-0.0761904761904762
1673965663.459,96.0,-0.08571428571428572
1673965664.459,95.0,-0.09523809523809523
1673965665.459,94.0,-0.10476190476190476
1673965666.459,93.0,-0.11428571428571428
1673965667.459,92.0,-0.12380952380952381
1673965668.459,91.0,-0.13333333333333333
1673965669.459,91.0,-0.13333333333333333
1673965670.459,91.0,-0.13333333333333333
1673965671.459,91.0,-0.13333333333333333
1673965672.459,91.0,-0.13333333333333333
1673965673.459,91.0,-0.13333333333333333
1673965674.459,90.0,-0.14285714285714285
1673965675.459,90.0,-0.14285714285714285
1673965676.459,91.0,-0.13333333333333333
1673965677.459,91.0,-0.13333333333333333
1673965678.459,91.0,-0.13333333333333333
1673965679.459,91.0,-0.13333333333333333
1673965680.459,91.0,-0.13333333333333333
1673965681.459,91.0,-0.13333333333333333
1673965682.459,91.0,-0.13333333333333333
1673965683.459,91.0,-0.13333333333333333
1673965684.459,91.0,-0.13333333333333333
1673965685.459,90.0,-0.14285714285714285
1673965686.459,91.0,-0.13333333333333333
1673965687.459,91.0,-0.13333333333333333
1673965688.459,91.0,-0.13333333333333333
1673965689.459,92.0,-0.12380952380952381
1673965690.459,92.0,-0.12380952380952381
1673965691.459,93.0,-0.11428571428571428
1673965692.459,93.0,-0.11428571428571428
1673965693.459,94.0,-0.10476190476190476
1673965694.459,94.0,-0.10476190476190476
1673965695.459,95.0,-0.09523809523809523
1673965696.459,95.0,-0.09523809523809523
1673965697.459,96.0,-0.08571428571428572
1673965698.459,97.0,-0.0761904761904762
